Customer Code,Customer Name,Customer Area,Ranking
1,"Customer 1","England",1
2,"Customer 2","England",10
3,"Customer 3","England",22
4,"Customer 4","England",20
5,"Customer 5","England",9
6,"Customer 6","England",18
7,"Customer 7","England",5
8,"Customer 8","England",13
9,"Customer 9","Wales",17
10,"Customer 10","Wales",2
11,"Customer 11","Wales",14
12,"Customer 12","Wales",7
13,"Customer 13","Wales",19
14,"Customer 14","Wales",23
15,"Customer 15","Scotland",11
16,"Customer 16","Scotland",25
17,"Customer 17","Scotland",21
18,"Customer 18","Scotland",4
19,"Customer 19","Scotland",8
20,"Customer 20","Scotland",16
21,"Customer 21","Scotland",3
22,"Customer 22","Ireland",15
23,"Customer 23","Ireland",12
24,"Customer 24","Ireland",6
25,"Customer 25","Ireland",24
