Credit Scoring,KeyPI100,nadb_measuredate_pjrisk,_nadb_creditriskratingadministration_value,MethodologySum,Prob Of Default,Date,_nadb_internalcreditriskrating_value,Value for Scale,EX-Probabilitylist,EX-CreditScorelist,EXMeth,EX-CreditScorelist - Copy
,"",,"",,,"","",,0.99982739630567774,0,"Clean Energy (Solar and Wind)","0"
,"",,"",,,"","",,0.99979474516181732,1,"Clean Energy (Solar and Wind)","1"
,"",,"",,,"","",,0.99975591896509641,2,"Clean Energy (Solar and Wind)","2"
,"",,"",,,"","",,0.9997097505009197,3,"Clean Energy (Solar and Wind)","3"
,"",,"",,,"","",,0.99965485218514338,4,"Clean Energy (Solar and Wind)","4"
,"",,"",,,"","",,0.999589574565441,5,"Clean Energy (Solar and Wind)","5"
,"",,"",,,"","",,0.99951195705222062,6,"Clean Energy (Solar and Wind)","6"
,"",,"",,,"","",,0.99941966944249283,7,"Clean Energy (Solar and Wind)","7"
,"",,"",,,"","",,0.99930994254211081,8,"Clean Energy (Solar and Wind)","8"
,"",,"",,,"","",,0.99917948589074168,9,"Clean Energy (Solar and Wind)","9"
,"",,"",,,"","",,0.99902439024390244,10,"Clean Energy (Solar and Wind)","10"
,"",,"",,,"","",,0.99884001206143269,11,"Clean Energy (Solar and Wind)","11"
,"",,"",,,"","",,0.99862083678608271,12,"Clean Energy (Solar and Wind)","12"
,"",,"",,,"","",,0.99836031716438456,13,"Clean Energy (Solar and Wind)","13"
,"",,"",,,"","",,0.99805068226120852,14,"Clean Energy (Solar and Wind)","14"
,"",,"",,,"","",,0.997682712148823,15,"Clean Energy (Solar and Wind)","15"
,"",,"",,,"","",,0.99724547251514439,16,"Clean Energy (Solar and Wind)","16"
,"",,"",,,"","",,0.99672600264603428,17,"Clean Energy (Solar and Wind)","17"
,"",,"",,,"","",,0.99610894941634243,18,"Clean Energy (Solar and Wind)","18"
,"",,"",,,"","",,0.99537613911430212,19,"Clean Energy (Solar and Wind)","19"
,"",,"",,,"","",,0.994506078188917,20,"Clean Energy (Solar and Wind)","20"
,"",,"",,,"","",,0.99347337345012321,21,"Clean Energy (Solar and Wind)","21"
,"",,"",,,"","",,0.99224806201550386,22,"Clean Energy (Solar and Wind)","22"
,"",,"",,,"","",,0.99079484160047437,23,"Clean Energy (Solar and Wind)","23"
,"",,"",,,"","",,0.989072192895632,24,"Clean Energy (Solar and Wind)","24"
,"",,"",,,"","",,0.98703138818642411,25,"Clean Energy (Solar and Wind)","25"
,"",,"",,,"","",,0.98461538461538467,26,"Clean Energy (Solar and Wind)","26"
