Date,DateKey,Year,Quarter,MonthNum,Month,FiscalYear,FiscalQuarter,FiscalMonthNum,FiscalMonth,MonthYear,MonthYearLong,MonthYearNum,WeekdayNum,Weekday,WeekdayWeekend
2015-12-25 00:00:00.000,20151225,2015,"Q4",12,"Dec","FY2016","FQ2",6,"Dec",2019-12-15 00:00:00.000,2015-12-01 00:00:00.000,201512,6,"Fri","Weekday"
2015-12-26 00:00:00.000,20151226,2015,"Q4",12,"Dec","FY2016","FQ2",6,"Dec",2019-12-15 00:00:00.000,2015-12-01 00:00:00.000,201512,7,"Sat","Weekend"
2015-12-27 00:00:00.000,20151227,2015,"Q4",12,"Dec","FY2016","FQ2",6,"Dec",2019-12-15 00:00:00.000,2015-12-01 00:00:00.000,201512,1,"Sun","Weekend"
2015-12-28 00:00:00.000,20151228,2015,"Q4",12,"Dec","FY2016","FQ2",6,"Dec",2019-12-15 00:00:00.000,2015-12-01 00:00:00.000,201512,2,"Mon","Weekday"
2015-12-29 00:00:00.000,20151229,2015,"Q4",12,"Dec","FY2016","FQ2",6,"Dec",2019-12-15 00:00:00.000,2015-12-01 00:00:00.000,201512,3,"Tue","Weekday"
2015-12-30 00:00:00.000,20151230,2015,"Q4",12,"Dec","FY2016","FQ2",6,"Dec",2019-12-15 00:00:00.000,2015-12-01 00:00:00.000,201512,4,"Wed","Weekday"
2015-12-31 00:00:00.000,20151231,2015,"Q4",12,"Dec","FY2016","FQ2",6,"Dec",2019-12-15 00:00:00.000,2015-12-01 00:00:00.000,201512,5,"Thu","Weekday"
2015-09-18 00:00:00.000,20150918,2015,"Q3",9,"Sep","FY2016","FQ1",3,"Sep",2019-09-15 00:00:00.000,2015-09-01 00:00:00.000,201509,6,"Fri","Weekday"
2015-09-19 00:00:00.000,20150919,2015,"Q3",9,"Sep","FY2016","FQ1",3,"Sep",2019-09-15 00:00:00.000,2015-09-01 00:00:00.000,201509,7,"Sat","Weekend"
2015-09-20 00:00:00.000,20150920,2015,"Q3",9,"Sep","FY2016","FQ1",3,"Sep",2019-09-15 00:00:00.000,2015-09-01 00:00:00.000,201509,1,"Sun","Weekend"
