ApartmentId,BuildingId,ApartmentNum,SquareFeet,Bathrooms,Rent,TenantId,AdminId
1,1,"101",400,1,550,5,1
2,1,"102",550,1,700,6,1
3,1,"103",450,1,600,7,1
4,1,"104",650,2,900,8,1
5,1,"105",400,2,700,9,1
6,2,"101",600,2,800,10,1
7,2,"102",600,1,500,11,1
8,2,"103",700,1,600,,1
9,2,"104",800,1,700,12,1
10,2,"105",400,1,500,13,1
11,3,"101",500,1,500,14,3
12,3,"102",500,2,800,15,3
13,3,"103",900,2,1200,,3
14,3,"104",800,1,800,16,3
15,3,"105",700,2,800,17,3
16,6,"101",900,2,1300,18,4
17,6,"102",800,2,1200,19,4
18,6,"103",600,1,700,20,4
19,6,"104",800,1,900,,4
20,6,"105",1000,2,1400,,4
