Date,Year,Start of Year,End of Year,Month,Start of Month,End of Month,Days in Month,Day,Day Name,Day of Week,Day of Year,Month Name,Quarter,Start of Quarter,End of Quarter,Week of Year,Week of Month,Start of Week,End of Week,Fiscal Year,Fiscal Quarter,Fiscal Month,Day Offset,Month Offset,Year Offset,Quarter Offset
2020-01-06 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,1,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,31,6,"Monday",1,6,"January",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,2,2,2020-01-06 00:00:00.000,2020-01-12 00:00:00.000,2020,1,1,-385,-12,-1,-4
2020-01-07 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,1,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,31,7,"Tuesday",2,7,"January",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,2,2,2020-01-06 00:00:00.000,2020-01-12 00:00:00.000,2020,1,1,-384,-12,-1,-4
2020-01-08 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,1,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,31,8,"Wednesday",3,8,"January",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,2,2,2020-01-06 00:00:00.000,2020-01-12 00:00:00.000,2020,1,1,-383,-12,-1,-4
2020-01-09 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,1,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,31,9,"Thursday",4,9,"January",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,2,2,2020-01-06 00:00:00.000,2020-01-12 00:00:00.000,2020,1,1,-382,-12,-1,-4
2020-01-10 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,1,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,31,10,"Friday",5,10,"January",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,2,2,2020-01-06 00:00:00.000,2020-01-12 00:00:00.000,2020,1,1,-381,-12,-1,-4
2020-01-11 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,1,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,31,11,"Saturday",6,11,"January",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,2,2,2020-01-06 00:00:00.000,2020-01-12 00:00:00.000,2020,1,1,-380,-12,-1,-4
2020-01-12 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,1,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,31,12,"Sunday",0,12,"January",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,2,2,2020-01-06 00:00:00.000,2020-01-12 00:00:00.000,2020,1,1,-379,-12,-1,-4
2020-03-02 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,3,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,31,2,"Monday",1,62,"March",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,10,2,2020-03-02 00:00:00.000,2020-03-08 00:00:00.000,2020,1,3,-329,-10,-1,-4
2020-03-03 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,3,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,31,3,"Tuesday",2,63,"March",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,10,2,2020-03-02 00:00:00.000,2020-03-08 00:00:00.000,2020,1,3,-328,-10,-1,-4
2020-03-04 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,3,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,31,4,"Wednesday",3,64,"March",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,10,2,2020-03-02 00:00:00.000,2020-03-08 00:00:00.000,2020,1,3,-327,-10,-1,-4
2020-03-05 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,3,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,31,5,"Thursday",4,65,"March",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,10,2,2020-03-02 00:00:00.000,2020-03-08 00:00:00.000,2020,1,3,-326,-10,-1,-4
2020-03-06 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,3,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,31,6,"Friday",5,66,"March",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,10,2,2020-03-02 00:00:00.000,2020-03-08 00:00:00.000,2020,1,3,-325,-10,-1,-4
2020-03-07 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,3,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,31,7,"Saturday",6,67,"March",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,10,2,2020-03-02 00:00:00.000,2020-03-08 00:00:00.000,2020,1,3,-324,-10,-1,-4
2020-03-08 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,3,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,31,8,"Sunday",0,68,"March",1,2020-01-01 00:00:00.000,2020-03-31 00:00:00.000,10,2,2020-03-02 00:00:00.000,2020-03-08 00:00:00.000,2020,1,3,-323,-10,-1,-4
2020-05-04 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,31,4,"Monday",1,125,"May",2,2020-04-01 00:00:00.000,2020-06-30 00:00:00.000,19,2,2020-05-04 00:00:00.000,2020-05-10 00:00:00.000,2020,2,5,-266,-8,-1,-3
2020-05-05 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,31,5,"Tuesday",2,126,"May",2,2020-04-01 00:00:00.000,2020-06-30 00:00:00.000,19,2,2020-05-04 00:00:00.000,2020-05-10 00:00:00.000,2020,2,5,-265,-8,-1,-3
2020-05-06 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,31,6,"Wednesday",3,127,"May",2,2020-04-01 00:00:00.000,2020-06-30 00:00:00.000,19,2,2020-05-04 00:00:00.000,2020-05-10 00:00:00.000,2020,2,5,-264,-8,-1,-3
2020-05-07 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,31,7,"Thursday",4,128,"May",2,2020-04-01 00:00:00.000,2020-06-30 00:00:00.000,19,2,2020-05-04 00:00:00.000,2020-05-10 00:00:00.000,2020,2,5,-263,-8,-1,-3
