Order ID,Add-On Beverage Item [Arabic Cold Brew],Add-On Beverage Item [Kombucha Beetroot],Add-On Beverage Item [Kombucha Green Tea],Add-On Beverage Item [Kombucha Lemongrass & Green Tea],Add-On Beverage Item [Kombucha Passionfruit],Add-On Beverage Item [N. Soda Apply & Vanilla],Add-On Beverage Item [N. Soda Guava & Lemongr],Add-On Beverage Item [N. Soda Lengkuas & Lemonade],Add-On Food Item [Amazin' Grace Granola],Add-On Food Item [Amazin' Grace Nut Mix],Add-On Food Item [Buttermilk Pita Chips],Add-On Food Item [Cheese Pita Chips],Add-On Food Item [Cooked Falafel],Add-On Food Item [Cookies],Add-On Food Item [Fresh Mantu],Add-On Food Item [Frozen Bolani],Add-On Food Item [Frozen Chicken Meatball],Add-On Food Item [Frozen Falafel Mix],Add-On Food Item [Frozen Sambusak],Add-On Food Item [Hummus & Bread],Add-On Food Item [Mandi Rice],Add-On Food Item [Mediterranean Lamb Stew],Add-On Food Item [Pulut Hitam Creme Brul̩e],Add-On Food Item [Shawarma Pita Chips],Add-On Food Item [Sourdough (Kefir King)],Menu Orders [PM1 - Chicken Mandi],Menu Orders [PM2 - CNY Special - Pan Seared Seabass Fillet],Menu Orders [PM3 - Picha Lamb Dhansak],Menu Orders [SM1 - Soy Chunk & Tofu Butter Masala],Menu Orders [SM2 - CNY Special Fried Chicken],Menu Orders [SM3 - Mediterranean Beef Kofta],Menu Orders [SM4 - Koshari],Menu Orders [SM5 - Young Jackfruit Rendang],Menu Orders [SM6 - Kimchi Roasted Chicken],Menu Orders [SM7 - Coriander Chicken Meatballs],Menu Orders [SM8 - Roasted Pumpkin],Menu Orders [SM9 - Chicken Jalfrezi],Menu Orders [VM1 - Afghan Eggplant Curry],Menu Orders [VM2 - Cauli-Chickpeas Veggie Balls],Menu Orders [VM3 - Soy Chunk & Tofu Butter Masala]
1,,2,3,3,1,4,3,4,,,4,,,,,,,,,,,,2,3,,3,,,1,,,1,,1,3,,4,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,1,,1,,,,,,
1001,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,,,1,1,,2,,,
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,
1012,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,
1022,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,2,1,,,1,1,1,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,1,,,,,1,1,
1026,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,2,3,,,1,,,
1031,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,,1,,,
1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,1,,,
1036,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1037,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,1,,1,1,1,1,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1039,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,1,,1,,,
1049,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,2,,3,,,
1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,2,2,,2,2,,1,,,
1063,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1065,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,5,,,5,,
1068,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1075,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,
1080,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,1,1,2,,2,2,2,,,,,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,,3,,2,,,
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,1,1,,1,,
1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,
1085,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,,,,2,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,2,,,,1,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,3,,,2,1,,1,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,1,1,1,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,,,,1,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,2,2,,1,,1,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,2,,,2,1,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,1,1,,,
123,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,2,,1,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,,1,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,,1,1,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,
147,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,1,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,1
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,2,,1,,2,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
177,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,1,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,
179,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,1,,,3,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,1,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,,,2,,,1,,,
