ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
153,1,"a1e4c478-6063-49f7-85d7-5015549a58e3",True,1,1,2,False,12,173,2,114,174,1,1,1513,,2021-03-17 05:05:33.800,2021-03-22 06:23:46.276,1
154,1,"ae79acaa-c489-4fc3-8550-b966bebf4aef",True,1,1,2,False,12,182,2,117,183,1,1,1515,,2021-03-17 05:05:33.813,2021-03-22 06:23:46.270,1
156,1,"df0c6ad4-60cb-42ef-ba65-de8c43d75275",True,1,1,2,False,12,203,2,123,204,1,1,1519,,2021-03-17 05:05:33.806,2021-03-22 06:23:46.280,1
157,1,"dc945fd1-eef9-41e9-bc3b-af68700902d8",True,1,1,2,False,12,211,2,126,212,1,1,1521,,2021-03-17 05:05:33.793,2021-03-22 06:23:46.313,1
160,1,"ddc93ccf-e720-44dc-bb08-cc49e8bf3765",True,1,1,2,False,12,236,2,135,237,1,1,1527,,2021-03-17 05:05:33.813,2021-03-22 06:23:46.266,1
161,1,"aeb71ac2-ed56-4285-bd3f-0e57b6cee279",True,1,1,2,False,12,244,2,138,245,1,1,1529,,2021-03-17 05:05:33.803,2021-03-22 06:23:46.283,1
162,1,"4f8e888e-5e4b-4d5e-a4bc-72ee794e8e25",True,1,1,2,False,12,252,2,141,253,1,1,1531,,2021-03-17 05:05:33.790,2021-03-22 06:23:46.280,1
163,1,"711336a7-299d-47d3-ad62-b2eb4054b500",True,1,1,2,False,12,260,2,144,261,1,1,1533,,2021-03-17 05:05:33.806,2021-03-22 06:23:46.313,1
164,1,"cf1e04c9-5183-4fed-b988-8b5e4be628a5",True,1,1,2,False,12,268,2,147,269,1,1,1535,,2021-03-17 05:05:33.803,2021-03-22 06:23:46.313,1
165,1,"3527de4a-76a9-4915-b015-f44e6fe2cc7f",True,1,1,2,False,12,276,2,150,277,1,1,1537,,2021-03-17 05:05:33.793,2021-03-22 06:23:46.276,1
5332,1,"a5a9706b-5497-4cde-ab8d-1b280a0af986",True,1,1,2,False,5326,5336,2,5329,5337,1,1,5535,,2021-03-02 02:38:24.906,2021-03-20 00:36:12.973,1
6018,1,"d366f474-5ad8-4caf-aa62-03fe33434210",True,1,1,1,False,5326,5333,2,12,166,1,1,6019,,2021-03-17 05:05:33.780,2021-03-22 06:23:46.253,1
6218,1,"5cac1e7a-b2ca-4565-9bd6-cc845355df4a",True,1,1,1,False,12,167,2,6035,6038,1,1,6219,,2021-03-17 05:05:33.770,2021-03-22 06:23:46.253,1
14991,1,"a289918d-7572-4048-b8a4-e0937fb1d483",True,1,1,2,False,14003,14054,2,14988,14992,1,1,15072,,2021-03-04 01:00:59.790,2021-03-04 01:00:59.790,1
15302,1,"49ee08ae-a609-46b4-8805-96b3b3159a78",True,1,1,1,False,12,195,2,14003,14054,1,1,15303,,2021-03-17 05:05:33.760,2021-03-22 06:23:46.253,1
25064,1,"867bf375-a3df-4678-9269-0afcdd3b3596",True,1,1,1,False,6035,6039,2,24924,24928,1,1,32169,,2021-03-18 12:31:56.146,2021-03-20 00:33:23.946,1
56027,1,"5a9fc8f5-da88-43f6-94a2-930a204a2ba7",True,1,1,2,False,12,56028,2,56024,56029,1,1,56123,,2021-03-18 04:35:38.456,2021-03-22 06:23:46.303,1
63289,1,"933f785c-02b9-4863-9cfc-d4863fcc8563",True,1,1,2,False,12,60622,2,63286,63290,1,1,63377,,2021-03-18 11:31:35.500,2022-07-14 10:08:10.036,1
72994,1,"c52b3697-6450-4692-85a1-c4cbc1de91f1",True,1,1,1,False,35196,35199,2,24924,24927,2,1,,,2021-03-18 12:31:03.703,1699-12-31 00:00:00.000,1
73923,1,"b8c05cd5-9f2a-4723-9a76-48ef43e80493",True,1,1,1,False,35196,72288,2,14003,14054,1,1,73924,,2021-03-18 12:33:20.096,2021-03-20 00:33:20.963,1
95599,1,"3d6933ff-f4f7-4784-af51-114fb81b2693",True,1,1,1,False,46270,46321,2,14003,14054,1,1,95601,,2021-03-24 09:32:22.750,2022-07-14 10:08:10.223,1
95600,1,"73636ef8-6dcc-4865-b45a-020d7101e4e1",True,1,2,1,False,46270,47293,2,24924,24927,2,1,,,2021-03-24 09:32:22.750,1699-12-31 00:00:00.000,1
